Sample,Plate_Well,Sample_Weight_mg,%N,%C,CN
CRr1C,A1,10.17,1.760035038,47.24882889,26.84539107
LABRr1B,A2,10.69,1.284094691,44.34336853,34.53278706
SEr2D,A3,11.62,1.121105909,46.44328308,41.42631192
SEr2E,A4,12.24,1.006352901,45.62141037,45.33341169
LASYr2F,A5,12.56,1.441236258,45.89326859,31.84298781
CRr2D,A6,10.6,1.358691812,53.1672554,39.13121057
CRr2E,A7,12.45,1.958444476,49.32398224,25.18528498
LABRr1C,A8,13.16,1.781040907,47.69652176,26.78013827
CRr2F,A9,10.42,2.169645786,49.88054276,22.99017797
BOr3G,A10,11.31,1.71341157,46.6493187,27.22598558
CRr1A,A11,11.77,2.021406412,47.89911652,23.69593578
MGr2E,B1,11.79,1.983733058,48.84854507,24.62455564
BOr1C,B2,14.83,1.358330965,46.29144669,34.07965208
MHr1A,B3,11.4,1.337292671,47.97346878,35.87357489
BAr2D,B4,10.22,1.121181965,51.12537766,45.59953625
LASCr2E,B5,12.2,1.06159246,46.2695694,43.58505843
LAWAr2F,B6,13.32,1.529938936,46.6723938,30.50605008
LASAr3G,B7,11.86,1.390716553,46.83959961,33.68019134
BOr3H,B8,11.89,1.79789412,45.12645721,25.09961889
BOr1A,B9,11.21,1.435831785,47.23616791,32.89812108
BAr1A,B10,12.16,1.170101881,46.27535248,39.54813955
SEr3H,C1,11.33,0.91109246,49.64233017,54.48659971
BAr3G,C2,10.42,1.48449719,42.35861969,28.53398442
BAr1B,C3,13.67,1.170600295,46.42555618,39.65961428
BAr1C,C4,14.54,1.247442126,49.78673935,39.91106145
LASAr3H,C5,13.72,1.969210625,50.28052902,25.53334234
BOr2D,C6,14.52,1.60161674,49.29036713,30.77538209
LASYr2E,C7,12.48,1.672199845,48.03182602,28.72373548
MHr2F,C8,10.51,1.499371648,48.643013,32.44226544
BAr2E,C9,10.76,1.540253639,52.07274246,33.80790095
LASCr2F,C10,10.86,1.266359448,51.38515472,40.57706902
BOr2E,C11,12.42,1.738119721,47.98550797,27.60771159
MGr1B,D1,13.32,2.438352346,50.8479805,20.85341792
BAr2F,D2,12.67,1.518935919,51.15367889,33.67731202
MHr1C,D3,10.66,1.393555522,49.35647964,35.41766285
BAr3I,D4,13.18,1.421252012,47.0256424,33.0874764
BOr2F,D5,10.15,1.677931309,49.52766418,29.51709877
SEr3G,D6,11.06,1.150385976,52.86704254,45.95591709
MHr3G,D7,11.14,1.541116357,49.8531723,32.34873997
MHr2D,D8,11.2,1.761024594,50.64264297,28.75748763
MHr3H,D9,10.26,1.583269,50.68416214,32.01235048
MGr2F,D10,9.92,2.31625843,51.8939743,22.40422469
MHr2E,D11,12.72,1.994382143,50.98797989,25.56580246
CRr3G,E1,11.1,1.505045176,51.33075333,34.10578908
MHr1B,E2,10.64,1.552685142,49.47583771,31.8646945
SEr3I,E3,10.55,1.363786459,51.86970901,38.03360025
MGr1A,E4,10.2,1.8755337,49.51977158,26.40302948
LASYr2D,E5,11.95,1.766113758,50.80509567,28.76660433
LAWAr2E,E6,10.6,1.784813285,50.25430298,28.15661638
MGr3G,E7,13.4,1.766440988,50.16781616,28.40050503
BOr3I,E8,11.93,2.243760824,49.97746658,22.27397236
LAWAr2D,E9,13.04,1.59757328,51.38693619,32.16562072
BAr3H,E10,10.7,1.809515715,50.73779297,28.03943207
LABRr1A,E11,10.13,1.785549164,49.90676498,27.95037291
LASAr3I,F1,11.36,1.704640269,45.57399368,26.73525582
MGr3H,F2,12.84,1.915001392,47.01844788,24.55269645
MGr1C,F3,13.19,2.182231903,43.88880157,20.11188706
CRr3H,F4,12.25,1.627395868,46.77607346,28.74289801
MHr3I,F5,10.31,1.753736734,47.86358261,27.29234194
SEr2F,F6,9.9,1.245823503,45.01653671,36.13396007
CRr3I,F7,10.94,1.711630702,43.69638824,25.52909818
LASCr2D,F8,10.52,0.972393692,41.44368362,42.62027198
MGr3I,F9,10.63,2.010072231,49.97534561,24.86246257
MGr2D,F10,13.17,1.966560602,45.53866577,23.15650264
CRr1B,F11,11.87,1.82973969,49.00603867,26.78306589
BOr1B,G1,10.73,1.557888627,48.25643921,30.97553854